video_title,video_id,comment,comment_id,number_of_likes,parent_comment,parent_comment_id,comment_date,video_post_date
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Not just a deep fryer but a fryalator + weekend course to use it 😂,UgwaULDP8-Jho-BoNWF4AaABAg,0,N/A,N/A,2024-10-22T10:37:03Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"So I imagine Trump will go after McConnell, Romney, Chenney, etc, all Republicans, that said or did something disparaging against Trump regardless of it being true.",UgwFRH8wGbR5UJ7Gzs94AaABAg,0,N/A,N/A,2024-10-22T10:36:30Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Trumpslators and Trumpsplainers are the dregs of MAGA, and MAGA are the dregs of society.",UgxhiQfIS3e_TlKmqZN4AaABAg,0,N/A,N/A,2024-10-22T10:36:28Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Here,  connect the dots... THERE HAVE BEEN 2 ASSASSINATION ATTEMPTS ON HIS LIFE...enemies (guided) from within",UgzX8rqEMNHLsSPFhpp4AaABAg,0,N/A,N/A,2024-10-22T10:36:25Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Poor Arnold Palmer, was known as a great golfer, now he’s more famous for his “nine-iron”!",UgwhtOTPeil5_we1BgZ4AaABAg,0,N/A,N/A,2024-10-22T10:36:13Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,WELL DONE!!😂😂😂,UgxB3zH9vFSi5zmYmo14AaABAg,0,N/A,N/A,2024-10-22T10:35:41Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"That's the whole point, man.  To numb the populace to the outrage, and to make them question whether anything is real.   George Orwell's line in _1984_ about the Party's essential command, to doubt one's eyes and ears, has come so horribly true this year.",UgwEZBgshorbnUV_tM14AaABAg,0,N/A,N/A,2024-10-22T10:35:29Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"I don't like the Cheneys either, but guess who is actually protecting democracy and not threatening to sit out the election or vote for a candidate who has said that she prefers Trump.",Ugz2ux8l1yeGZwECq3B4AaABAg,0,N/A,N/A,2024-10-22T10:35:16Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Jennifer Rubin is a Washington Post opinion columnist.,UgziU37ea2YIUgEL30V4AaABAg,0,N/A,N/A,2024-10-22T10:35:14Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Now I am questioning Palmers sexuality.,UgzA-kI-0w0K9jeQY8Z4AaABAg,0,N/A,N/A,2024-10-22T10:35:00Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,❤,UgxK46DM8XcjaK5fqZR4AaABAg,0,N/A,N/A,2024-10-22T10:34:58Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,He’s looking bad.,UgwlNXbb-G2N6NR2eft4AaABAg,0,N/A,N/A,2024-10-22T10:34:50Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,US politics and media coverage have become quite laughable and ridiculous,Ugzle61j5ov0sc37SyJ4AaABAg,0,N/A,N/A,2024-10-22T10:34:43Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Stewart who doesn't like you ? Your wife's book on rescuing animals is one of my favorites.  
But, I watch Megyn Kelly the comment ""the enemy within"" you presented it out of context I heard the whole conversation.",Ugy8wjOSX72OdV8aKph4AaABAg,0,N/A,N/A,2024-10-22T10:34:34Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Weird<-----,Ugxa1O82t4ETZQ4hcDV4AaABAg,0,N/A,N/A,2024-10-22T10:34:30Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Lol,UgwTfZFquoGykPDSQDZ4AaABAg,0,N/A,N/A,2024-10-22T10:34:28Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"The only person who starts a whataboutism with the words ""but what is about..."". Sorry, but u americans are delulu, if Trump gets about half your votes. Harris votes I do understand somehow, because big capital fossile lobby doesn't want Dr. Stein. But how is it even possible that Trump stil has a chance to win? Nuts.",UgxwAowqE7ajfJRI92B4AaABAg,0,N/A,N/A,2024-10-22T10:34:26Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"""The Apprentice McClown"" Reality TV Show.  A closed Mc DonOlds with drive-thru customers as fake as his boxes of January 6, 2021 fake electors plot. Albert R. Killackey Esq.",UgylK4qMbpq_LNkYS4N4AaABAg,0,N/A,N/A,2024-10-22T10:34:14Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,This is the best I have ever seen. The material he has to work with was tremendous!,UgyIuZ0J0FJfV8i0hBt4AaABAg,0,N/A,N/A,2024-10-22T10:34:08Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Yes viruses modify reality  brother don't worry about it we have AI.,UgwECy2pPwBBTHcWfh14AaABAg,0,N/A,N/A,2024-10-22T10:33:58Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Gaslighting: ""He didnt say the thing that he said. And if he did, he didn't mean it in the way that he said it.""",Ugx4BTpW2-TY6HgOuId4AaABAg,0,N/A,N/A,2024-10-22T10:33:40Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Donny is a human trafficker he had to import two of his wives😂😂,Ugwc94oYxShl6KCa1Bx4AaABAg,0,N/A,N/A,2024-10-22T10:33:27Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"As a felon he wouldn’t qualify for a job in McDonalds, better go to Dunkin Donuts",Ugx2FpxzTd7X4wN-0r94AaABAg,0,N/A,N/A,2024-10-22T10:33:25Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,😔😞😔😞🫤🤒🤐,UgwW3wHXdfJBcYLyI3Z4AaABAg,0,N/A,N/A,2024-10-22T10:33:24Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,34 Felony convictions makes Trump ineligible for a job at McDonalds.,Ugy2fsCikYgaOvHltMB4AaABAg,0,N/A,N/A,2024-10-22T10:33:04Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,They do not believe in witches at Mc Donalds...,Ugy2fsCikYgaOvHltMB4AaABAg.A9taIhnLYnOA9tadhGhqeh,0,34 Felony convictions makes Trump ineligible for a job at McDonalds.,Ugy2fsCikYgaOvHltMB4AaABAg,2024-10-22T10:36:04Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Maga is dead.,Ugx_qgeudPgRvRgCq054AaABAg,1,N/A,N/A,2024-10-22T10:32:53Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Trump is a FKN idiot who's going to FUP the world but if he wins you deserve it America for supplying Israel with weapons.,Ugyl37mB2SDZi07bJNV4AaABAg,0,N/A,N/A,2024-10-22T10:32:41Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"People are so crazy not to  know Trump is the true enemy within he has always been with the elite and making money of the working class
Blame someone else for the things you are doing  slide of hand look this way while I'm doing stuff the other way",UgxLwt68S4Hw_dH7QOF4AaABAg,0,N/A,N/A,2024-10-22T10:32:32Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Someone please give Trump a second brain cell to take care of the non-functioning one has possibly has.,Ugz1gU-fDhNCLFwPYKt4AaABAg,0,N/A,N/A,2024-10-22T10:32:28Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,traitor trump must be voted out of our lives,UgxAj0n1etEfwISJC214AaABAg,0,N/A,N/A,2024-10-22T10:32:04Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Trump pretending to work at a mcd for an hour, versus Kamala who worked there while attending law school  - probably the best analogy for their presidencies…",Ugxj47Qfn_uHGEYitfx4AaABAg,0,N/A,N/A,2024-10-22T10:31:59Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Trump is a savage!! He got my vote!,UgzrhSCUIyCu4QnycIl4AaABAg,0,N/A,N/A,2024-10-22T10:31:55Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"weird and creepy…i used to like McD’s fries😢
vote blue 🔵🔵🔵",UgwpbzeIqYneeNFT_rN4AaABAg,0,N/A,N/A,2024-10-22T10:31:33Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Hasan Piker a political commentator over on twitch, has been saying for years that Trump is an Ace, bi romantic for years now. Truly his year of vindication",UgxoGVaMb0o4Pfki7O14AaABAg,0,N/A,N/A,2024-10-22T10:31:25Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Better luck next time.,UgxCe7djYugcLGPCCUR4AaABAg,0,N/A,N/A,2024-10-22T10:31:00Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,In the 2020 election more than 140 million American citizens who were eligible to vote… did not vote!  That’s more than voted for either party. American democracy is broken with that level of disengagement.,UgzWy4zyX-aFLAgyE-94AaABAg,0,N/A,N/A,2024-10-22T10:30:58Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Ha! brilliant line... did we all die during Covid!?  ,UgwEIBzXYLWW32m9xgR4AaABAg,1,N/A,N/A,2024-10-22T10:30:48Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"DJT: ""I will always accept the election results if I win"".",UgzvIp4kIf8o8aK78vB4AaABAg,0,N/A,N/A,2024-10-22T10:30:45Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"I'm no longer sure who Trump wants to sleep with more, Arnold Palmer or Ivanka or which of those is creepier.",UgxfdoNiTbm3JYpxfZx4AaABAg,0,N/A,N/A,2024-10-22T10:30:18Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"it's insane to witness from abroad how Trump speaks more and more like Adolf but it's ok for gop members, they always find a justification for it...",UgzhEFL7bY3y0KfbEht4AaABAg,0,N/A,N/A,2024-10-22T10:30:08Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,😮,UgwOdr5pE_X0SSwDeVZ4AaABAg,0,N/A,N/A,2024-10-22T10:30:05Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,It may sound absurd but it actually happened to my country our last president had closed one of the biggest tv network and had a political enemy who investigated him of killings before he became President gone to prison on trump up charges for 8 years,Ugy-cPeEV0jHy5SeRCJ4AaABAg,0,N/A,N/A,2024-10-22T10:30:05Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Does McDonalds hire convicted felons?,Ugw6LVIXb3PV8sYo0St4AaABAg,0,N/A,N/A,2024-10-22T10:29:59Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Nobody recognizes the sham trial that happened in new york,Ugw6LVIXb3PV8sYo0St4AaABAg.A9t_x6tF9Z_A9taB2lRdwK,0,Does McDonalds hire convicted felons?,Ugw6LVIXb3PV8sYo0St4AaABAg,2024-10-22T10:32:01Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,MSNBC needs a show like this on prime time,UgxVweCSGHDVEkrpoop4AaABAg,0,N/A,N/A,2024-10-22T10:29:57Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Its not funny.  Donald Trump is really dangerous,UgwRmp6uzsX8nG7ZbFt4AaABAg,0,N/A,N/A,2024-10-22T10:29:49Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,💙,UgwtnEtq6KrbUBRoaZl4AaABAg,0,N/A,N/A,2024-10-22T10:29:38Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Perfectly summarized talking to my in-laws: So, you support someone who wants to use the U.S. military to round up people who criticize him? No, he doesn't mean that. So, you support someone who only lies about what they are going to do? No, he never lies. So, you support someone who wants to use the U.S. military.... and on and on it goes.",UgzGPS3F590ZW9P5Xel4AaABAg,0,N/A,N/A,2024-10-22T10:29:34Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"""I refuse to say it, but..."" - He really doesn't understand how words work.",UgxOpW8JEfasZMvftEd4AaABAg,0,N/A,N/A,2024-10-22T10:29:23Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Reject Harris' fascism. Vote Trump.,UgwX0GZHoqpf2daDuG54AaABAg,0,N/A,N/A,2024-10-22T10:29:18Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"It’s kind of funny that women have been facing this type of BS throughout history. This is a classic tail of women needing to outperform a man by miles, only to come in by a hare’s breath. Welcome to the gentler gender.",UgzIMLhefmm2-Cc2MA94AaABAg,0,N/A,N/A,2024-10-22T10:29:07Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,watch at 0:40 how the man shaking hands with the Orange Buffoon made an excuse to pull his hand out the filthy guy's hand 🤣🤣,UgwKUHgQxxBmIf3B81V4AaABAg,0,N/A,N/A,2024-10-22T10:28:42Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,I started on the friers at Red Lobster (had zero kitchen experience) and worked my way up to CGM (Certified Grill Master) within 5 months. 😊You can certainly work a fry station Mr. Stewart.,UgyR2WNcwMJAAsnjyi54AaABAg,0,N/A,N/A,2024-10-22T10:28:10Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Finally a media host just says NO to the BS of th right.,Ugze1k4407IvZpNq53J4AaABAg,0,N/A,N/A,2024-10-22T10:28:00Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,It's so crazy to realise that there is now way McDonald's would or could hire Trump because of his criminal record but he is allowed to be running for president again....how is this possible!?,UgzJ1J7wc01ODQ0YRdF4AaABAg,0,N/A,N/A,2024-10-22T10:27:52Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,He does not have a criminal record,UgzJ1J7wc01ODQ0YRdF4AaABAg.A9t_ha8pW3rA9t_w1aCXRO,0,It's so crazy to realise that there is now way McDonald's would or could hire Trump because of his criminal record but he is allowed to be running for president again....how is this possible!?,UgzJ1J7wc01ODQ0YRdF4AaABAg,2024-10-22T10:29:50Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"What about Trump's brain? It's missing, too. Has it been eaten by immigrant zombies that were too slow to catch cats?",UgzM0D85uXfNV5sTYtN4AaABAg,0,N/A,N/A,2024-10-22T10:27:45Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"They should make him wear gloves, cuz you know he doesn’t wash his hands after the bathroom….",Ugy8Y3SPORdT_QxQ3NB4AaABAg,0,N/A,N/A,2024-10-22T10:27:28Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,Supposed mark working drive threw without bullet protection.. sus. Did we all die during COVID? 😂😂😂,UgwI-mw2GCUtvBmKqrp4AaABAg,0,N/A,N/A,2024-10-22T10:27:25Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,With 34 felony convictions MacDonald wouldn't hire him.,UgxxKbI0Sra8VbcjHWd4AaABAg,0,N/A,N/A,2024-10-22T10:27:19Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"They would, everyone knows that this conviction was bs",UgxxKbI0Sra8VbcjHWd4AaABAg.A9t_dbQ7AKwA9taUu76bRI,0,With 34 felony convictions MacDonald wouldn't hire him.,UgxxKbI0Sra8VbcjHWd4AaABAg,2024-10-22T10:34:44Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Donald living in his cult members heart, also Donald living  rent free inside Jon's head and the rest of americans.. that makes 100% americans thinking about him every seconds of their lives.😅😅😅😅😅",UgyiceRaYnitapF1r094AaABAg,0,N/A,N/A,2024-10-22T10:27:01Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Kamala's going to work at five guys, and In and Out.😂",UgzVcmIIqinsSGfBNK94AaABAg,0,N/A,N/A,2024-10-22T10:26:57Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,This man has been eating at McDonald's all this time and has no idea there is no french fry counter.,UgxlRXFp1DxXOcqtuNh4AaABAg,0,N/A,N/A,2024-10-22T10:26:48Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,"Trump had no gloves, no hair net while handling food...health violation!!!!",Ugx3GsKW2oB5WUa82dp4AaABAg,0,N/A,N/A,2024-10-22T10:26:47Z,2024-10-22T03:00:11Z
Jon Stewart on Trump&#39;s McDonald&#39;s Shift &amp; His &quot;Enemy Within&quot; Threat | The Daily Show,-5KWZL1blWc,15:40 👻☺,Ugy1T2LTXaPEg04OVW14AaABAg,0,N/A,N/A,2024-10-22T10:26:29Z,2024-10-22T03:00:11Z
